"RESPNUM","A01","A02","A03","A04","A05","A06","A07","A08","A09","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22","A23","A24","TOPBOT3","GENDER","AGE","MARITST","NUMKIDS","FIRSTCAR","AGECAT","KIDSCAT","INCOME"
202,2,6,1,5,5,6,6,5,2,3,6,4,2,5,6,5,4,3,3,3,6,3,5,5,1,1,41,2,0,2,5,0,5
203,4,6,6,4,4,3,3,4,4,3,7,1,1,3,5,4,4,3,4,5,3,3,4,4,2,1,30,1,1,1,3,1,4
204,3,2,5,4,5,7,7,2,4,3,7,1,5,6,6,4,5,5,6,6,7,2,1,1,1,2,28,1,0,2,2,0,5
205,2,4,2,3,4,6,6,6,3,3,4,4,4,4,5,3,4,3,6,4,4,5,4,5,2,1,49,3,0,2,6,0,5
206,3,6,6,3,5,5,2,2,3,3,5,3,2,4,5,5,4,5,6,4,3,4,2,4,1,1,32,2,0,2,3,0,4
207,2,5,2,4,5,6,6,7,2,1,4,5,5,3,2,3,4,5,4,4,3,5,5,5,1,1,52,1,1,2,6,1,2
208,2,5,1,6,3,6,5,5,3,1,3,3,4,5,4,5,4,3,3,6,3,5,5,3,2,2,43,2,0,1,5,0,2
209,4,1,3,4,4,7,6,3,3,4,7,1,5,6,7,6,4,5,7,7,7,1,1,2,1,2,43,3,3,2,5,2,2
210,6,4,4,4,3,2,5,1,7,2,1,7,7,1,1,1,1,1,2,6,3,5,4,3,1,1,43,1,0,2,5,0,4
211,1,3,2,4,4,6,5,7,1,3,4,5,3,4,3,2,5,5,2,5,3,3,5,5,3,1,24,3,2,1,1,2,3
212,6,6,3,2,4,2,4,1,7,2,1,7,6,1,2,2,1,1,5,6,3,1,5,5,2,2,28,3,0,2,2,0,2
213,4,2,4,3,5,7,7,2,3,4,6,2,4,6,7,3,4,4,6,6,6,2,1,1,3,1,35,3,3,2,4,2,2
214,2,4,1,4,4,5,6,5,2,1,3,4,4,5,3,4,4,5,5,3,4,3,3,4,2,1,58,1,0,2,6,0,6
215,1,5,3,3,4,5,6,6,3,1,4,4,4,5,5,5,3,5,5,4,3,4,2,4,1,2,39,2,0,1,4,0,4
216,3,6,6,3,4,3,1,5,4,5,6,2,1,6,5,4,3,5,3,5,5,6,2,2,2,2,29,1,1,1,2,1,3
217,7,4,4,5,3,2,6,1,6,2,1,7,6,1,2,2,1,1,3,4,3,5,6,3,1,2,48,1,1,2,6,1,6
218,2,2,2,2,5,5,5,6,3,2,5,5,4,3,5,5,5,1,5,4,6,2,3,4,1,2,43,1,0,2,5,0,4
219,1,3,2,5,4,7,6,6,3,3,2,3,4,4,3,4,6,4,4,4,3,3,4,5,3,2,29,1,0,1,2,0,6
220,7,3,4,4,3,2,5,2,7,1,2,7,6,2,2,1,2,1,4,4,4,5,3,4,1,2,49,3,3,2,6,2,5
221,5,7,6,3,6,5,1,3,6,3,7,3,3,4,2,4,2,4,5,4,4,4,3,4,2,2,43,2,3,2,5,2,4
222,7,5,4,4,3,2,3,1,7,1,2,6,7,2,2,1,1,2,3,2,4,5,4,5,3,2,39,1,1,2,4,1,6
223,5,6,7,4,5,4,1,4,5,3,5,2,2,2,4,5,3,5,4,3,3,2,4,5,2,1,49,1,0,2,6,0,5
224,6,5,3,3,4,1,1,1,6,1,2,7,7,2,2,1,2,1,3,4,4,4,4,5,3,2,23,3,0,1,1,0,6
225,7,3,5,4,4,2,2,2,6,1,1,6,7,2,2,2,1,2,5,4,5,4,4,5,1,1,39,1,0,2,4,0,5
226,6,3,2,6,2,1,3,1,6,2,1,6,7,2,2,2,1,1,7,4,4,5,4,2,3,1,47,2,0,2,6,0,4
227,7,3,3,2,3,1,2,2,6,1,2,7,7,1,2,2,2,1,4,3,5,3,4,5,3,1,41,3,0,2,5,0,5
228,4,1,2,4,4,6,6,4,3,4,7,2,3,6,6,4,3,3,7,6,6,1,2,2,1,1,31,3,0,2,3,0,6
229,2,5,1,3,5,6,6,5,1,1,5,4,3,2,3,2,5,4,4,3,3,4,4,4,2,2,40,1,0,1,5,0,6
230,1,5,1,5,1,6,7,7,2,1,3,4,5,3,3,5,6,3,5,4,4,5,3,5,1,2,22,3,0,2,1,0,4
231,1,4,2,5,3,6,7,5,3,2,3,2,6,3,6,5,4,4,3,4,3,4,5,4,1,1,20,1,0,2,1,0,3
232,1,5,2,4,3,6,5,5,2,2,4,4,4,3,4,3,5,4,4,3,4,6,4,3,1,2,39,1,0,2,4,0,3
233,4,1,4,7,4,6,7,5,7,4,6,2,4,6,6,4,4,4,7,7,7,2,2,1,2,2,27,3,0,1,2,0,5
234,3,3,3,5,3,6,6,6,2,1,5,4,5,4,3,5,4,5,3,4,6,3,1,3,2,1,56,3,0,2,6,0,4
235,3,7,6,5,4,3,2,5,3,4,6,1,3,6,4,2,4,5,3,4,4,4,3,5,2,1,20,1,0,2,1,0,2
236,3,3,3,5,5,7,7,5,1,3,4,5,5,5,5,4,4,3,4,3,2,5,3,4,1,1,36,2,0,2,4,0,1
237,3,4,1,5,6,7,6,6,2,1,2,4,4,2,3,7,4,4,5,4,3,5,4,2,2,2,29,1,0,2,2,0,1
238,6,2,2,4,4,2,5,2,7,1,2,6,7,1,2,2,2,1,4,2,3,3,5,4,3,1,42,1,3,2,5,2,2
239,6,5,4,5,6,1,3,1,6,2,2,6,7,1,1,1,1,1,5,4,5,3,7,4,3,1,24,1,0,2,1,0,2
240,4,2,4,5,4,6,6,6,5,4,7,1,5,6,7,4,3,4,6,6,7,2,2,2,3,1,25,1,2,2,2,2,6
241,2,2,2,4,5,6,7,5,2,2,3,4,3,4,3,4,5,4,6,3,4,4,3,5,1,1,34,1,1,2,3,1,1
242,7,3,2,5,5,1,4,2,7,1,2,6,6,2,2,1,2,2,4,5,3,4,5,4,1,1,43,1,0,2,5,0,2
243,3,7,6,3,5,6,2,2,4,3,6,2,2,4,4,3,4,3,4,4,4,3,5,3,1,2,22,1,1,2,1,1,2
244,1,3,2,5,5,6,6,7,2,3,3,6,4,3,4,3,3,2,4,4,5,6,4,4,2,1,26,2,0,2,2,0,2
245,6,4,4,2,5,2,4,1,7,2,2,6,6,2,1,1,1,2,5,3,4,4,6,4,3,1,36,3,0,2,4,0,6
246,7,5,3,4,2,1,4,2,6,1,1,7,6,1,2,2,1,1,3,5,2,3,4,5,1,1,52,1,0,2,6,0,5
247,3,7,6,4,4,4,2,5,4,1,6,2,2,3,4,2,4,4,5,2,5,4,4,4,1,2,42,1,0,2,5,0,2
248,5,1,4,4,5,6,6,5,4,2,6,1,5,7,6,3,5,4,7,6,6,1,2,2,1,1,34,2,0,2,3,0,4
249,3,7,6,4,4,3,2,5,1,5,5,1,2,4,2,4,4,3,3,5,4,5,5,3,2,2,34,3,0,2,3,0,6
250,6,3,4,5,5,2,4,1,6,1,1,6,6,2,1,1,2,2,5,5,5,5,3,6,1,2,43,1,0,1,5,0,2
